news_id|user_id|title|similarity
65f93a06d34f691bf537813b|346|한·중 노선 승객 1년 만에 733% 증가… 항공업 회복 ‘날개’|1
65f93a06d34f691bf53772bd|346|‘유통채널’ 강화… CJ제일제당, 네이버 판매자 도착보장 서비스 도입 대규모 할인전 연다|1
65f93a06d34f691bf537727d|346|의결권 자문사 글래스루이스, 고려아연 이사회 주총 안건 찬성|1
65f93a06d34f691bf537727e|346|고공행진 사과값에 정부 “가격 안정 위해 1500억원 긴급 투입”|1
65f93a06d34f691bf537727f|346|골프 많이 치면 루게릭병 발병 위험…바로 ‘이것’ 때문|1
65f93a06d34f691bf5377280|346|아워홈, 프리미엄 레스토랑 싱카이·키사라 차별화 전략 가동… 계절 특성 살린 미식경험 제공|1
65f93a06d34f691bf5377281|346|예고된 공천 참사… 유튜브서 막말→강성층 업고 공천→검증 부실 ‘악순환’|1
65f93a06d34f691bf5377282|346|LA관광청, ‘LA는현재상영중’ 글로벌 캠페인 전개… 역대 최대 규모|1
65f93a06d34f691bf5377283|346|외제차 간 충돌 후 경찰 신고 안 해…알고 보니 보험사기였다|1
65f93a06d34f691bf5377284|346|선관위, 이혜훈 캠프 6명 고발… 與 “하태경 이의신청 기각”|1
65f93a06d34f691bf5377375|294|치솟는 전셋값에…1월 서울 아파트 월세 계약 60% ↑ 소형 아파트|38
65f93a06d34f691bf5376b8c|294|제주대 의대 교수협 “의대 증원 중단하고 의료계와 논의해야”|28
65f93a06d34f691bf5376cdc|294|‘반값 아파트’ 개인 간 거래 허용 추진|28
65f93a06d34f691bf5377612|294|법원, 의대 교수협이 제기한 의대 증원 취소 집행정지 사건 심문|27
65f93a06d34f691bf5377b8e|294|부천 아파트 단지 ‘칼부림’ 벌어졌다|26
65f93a06d34f691bf5377824|294|작년 전국 아파트 당첨 확률 8.3%…서울은?|26
65f93a06d34f691bf5377bf7|294|아파트 동대표 폭행치사 혐의 40대 구속영장 기각|25
65f93a06d34f691bf5377b5b|294|‘아파트 이웃’ 흉기 찌르고 도주한 20대 구속|25
65f93a06d34f691bf5376dec|294|아파트 관리소장에 욕설·협박한 입주민 벌금형|24
65f93a06d34f691bf5377f61|294|성동구, 아파트 온라인투표 비용 최대 21만6000원까지 지원|24
65f93a06d34f691bf537813b|110|한·중 노선 승객 1년 만에 733% 증가… 항공업 회복 ‘날개’|1
65f93a06d34f691bf53772bd|110|‘유통채널’ 강화… CJ제일제당, 네이버 판매자 도착보장 서비스 도입 대규모 할인전 연다|1
65f93a06d34f691bf537727d|110|의결권 자문사 글래스루이스, 고려아연 이사회 주총 안건 찬성|1
65f93a06d34f691bf537727e|110|고공행진 사과값에 정부 “가격 안정 위해 1500억원 긴급 투입”|1
65f93a06d34f691bf537727f|110|골프 많이 치면 루게릭병 발병 위험…바로 ‘이것’ 때문|1
65f93a06d34f691bf5377280|110|아워홈, 프리미엄 레스토랑 싱카이·키사라 차별화 전략 가동… 계절 특성 살린 미식경험 제공|1
65f93a06d34f691bf5377281|110|예고된 공천 참사… 유튜브서 막말→강성층 업고 공천→검증 부실 ‘악순환’|1
65f93a06d34f691bf5377282|110|LA관광청, ‘LA는현재상영중’ 글로벌 캠페인 전개… 역대 최대 규모|1
65f93a06d34f691bf5377283|110|외제차 간 충돌 후 경찰 신고 안 해…알고 보니 보험사기였다|1
65f93a06d34f691bf5377284|110|선관위, 이혜훈 캠프 6명 고발… 與 “하태경 이의신청 기각”|1
65f93a06d34f691bf537813b|253|한·중 노선 승객 1년 만에 733% 증가… 항공업 회복 ‘날개’|1
65f93a06d34f691bf53772bd|253|‘유통채널’ 강화… CJ제일제당, 네이버 판매자 도착보장 서비스 도입 대규모 할인전 연다|1
65f93a06d34f691bf537727d|253|의결권 자문사 글래스루이스, 고려아연 이사회 주총 안건 찬성|1
65f93a06d34f691bf537727e|253|고공행진 사과값에 정부 “가격 안정 위해 1500억원 긴급 투입”|1
65f93a06d34f691bf537727f|253|골프 많이 치면 루게릭병 발병 위험…바로 ‘이것’ 때문|1
65f93a06d34f691bf5377280|253|아워홈, 프리미엄 레스토랑 싱카이·키사라 차별화 전략 가동… 계절 특성 살린 미식경험 제공|1
65f93a06d34f691bf5377281|253|예고된 공천 참사… 유튜브서 막말→강성층 업고 공천→검증 부실 ‘악순환’|1
65f93a06d34f691bf5377282|253|LA관광청, ‘LA는현재상영중’ 글로벌 캠페인 전개… 역대 최대 규모|1
65f93a06d34f691bf5377283|253|외제차 간 충돌 후 경찰 신고 안 해…알고 보니 보험사기였다|1
65f93a06d34f691bf5377284|253|선관위, 이혜훈 캠프 6명 고발… 與 “하태경 이의신청 기각”|1
65f93a06d34f691bf5376f97|785|KB국민은행서 100억대 부당 대출… 금감원, 검사 돌입|34
65f93a06d34f691bf5376c0d|785|제2금융 대출 소상공인, 최대 150만원 이자 환급|32
65f93a06d34f691bf53777cb|785|청년청약통장 출시…“집값 최대 80% 저리 대출 혜택”|31
65f93a06d34f691bf5377300|785|소상공인 제2금융 대출 이자환급…1인당 평균 75만원 지원|31
65f93a06d34f691bf5376cdd|785|‘은행 마음대로’ 중도상환수수료, 앞으론 대출 실비용만 인정된다|30
65f93a06d34f691bf5376e29|785|인터넷은행 중·저신용자 대출 실적 ‘토스-카뱅-케이뱅크’ 순|30
65f93a06d34f691bf5376eb6|785|기업대출 가파른 증가 속 부실기업 대출 비중도 12% 육박|30
65f93a06d34f691bf5377cb6|785|5000만원 연봉자 ‘은행 주담대’ 최대 1700만원 대출 한도 축소|29
65f93a06d34f691bf5376d9f|785|하루 이자만 1억원…‘사기 대출’ 수천억 벌금에 항소한 트럼프|29
65f93a06d34f691bf5377b93|785|빚 못 갚는 2030 사장님들… 자영업자 대출 연체액 9조 늘어|29
65f93a06d34f691bf53777d8|267|애플 ‘셀프 수리’, 맥북·아이맥으로 확대|39
65f93a06d34f691bf5377b8a|267|애플, 2조 7000억원 ‘과징금 폭탄’…전세계 매출의 0.5%|36
65f93a06d34f691bf5376e9e|267|‘인앱 결제 강제’ 애플, 유럽서 7200억원 첫 과징금|35
65f93a06d34f691bf5377b30|267|‘중국·과징금·AI’ 애플, 올 들어 시총 470조 증발|35
65f93a06d34f691bf5376d7c|267|끝내 출시 못하고…애플, 10년 공들인 전기차 ‘플러그 아웃’|32
65f93a06d34f691bf5377c4b|267|애플, 10년 공들인 자율주행 전기차 포기… 치고 나가는 샤오미|32
65f93a06d34f691bf5377655|267|명품 플랫폼 젠테, 업스테이지·애플 출신 김근교 CCO 영입|31
65f93a06d34f691bf5377285|267|바닷물이 호수되고, 산이 정원되고 [여행의 기분]|1
65f93a06d34f691bf537727f|267|골프 많이 치면 루게릭병 발병 위험…바로 ‘이것’ 때문|1
65f93a06d34f691bf5377280|267|아워홈, 프리미엄 레스토랑 싱카이·키사라 차별화 전략 가동… 계절 특성 살린 미식경험 제공|1
65f93a06d34f691bf5377e85|212|美 2월 소비자물가 3.2%↑…금리 인하 기대감에 ‘찬물’|37
65f93a06d34f691bf5376cb8|212|연준 금리 인하 기대감…금값 사상 최고치|36
65f93a06d34f691bf5376e78|212|‘부동산 부양’ 이 악문 중국, 기준금리 역대 최대폭 인하|33
65f93a06d34f691bf5377337|212|파월 “곧 금리 인하”에 글로벌 증시 환호…변수는 ‘물가상승률’|32
65f93a06d34f691bf5376f72|212|국제 유가 4개월 만에 최고…유류세 인하 ‘상시화’ 부추길까|30
65f93a06d34f691bf5376e76|212|시장지배 넷플릭스·유튜브는 빼고? 정부, 국내 OTT에 요금 인하 압박|30
65f93a06d34f691bf5377d49|212|생산·수입물가 동반 상승 … ‘끈적한 고물가’에 금리 인하 멀어지나|29
